Book_ID,Title,Author,Category,Cabinet,Rack_library,Row_library,Signal_Strength,Status_library,Date_library,Time_library
B078,The Dream of Dream,Skyler Allen,Thriller,4,2,1,-45,Missing,12/11/2024,11:18:00 AM
B079,The Adventures of Mystery,Alex Smith,Thriller,4,3,1,-55,Present,12/11/2024,11:19:00 AM
B080,The Future of Dream,Quinn Lee,Programming,4,5,2,-44,Missing,12/11/2024,11:20:00 AM
B081,The Shadows of Dream,Alex Hall,Thriller,3,3,4,-47,Missing,12/11/2024,11:21:00 AM
B082,The Legacy of Legacy,Alex Allen,History,3,4,5,-43,Present,12/11/2024,11:22:00 AM
B083,The Adventures of Legacy,Casey Lee,Science,4,3,4,-45,Missing,12/11/2024,11:23:00 AM
B084,The Shadows of Adventures,Casey Taylor,History,3,5,1,-56,Present,12/11/2024,11:24:00 AM
B085,The Chronicles of Journey,Riley Brown,History,1,2,3,-53,Missing,12/11/2024,11:25:00 AM
B086,The Future of Future,Jamie Smith,Thriller,3,4,1,-50,Present,12/11/2024,11:26:00 AM
B087,The Chronicles of Future,Jordan Allen,Thriller,2,1,2,-58,Checked Out,12/11/2024,11:27:00 AM
B088,The Code of Mystery,Casey Johnson,Thriller,4,5,1,-48,Checked Out,12/11/2024,11:28:00 AM
B089,The Code of Code,Alex Taylor,Thriller,5,2,3,-40,Missing,12/11/2024,11:29:00 AM
B090,The Chronicles of Chronicles,Casey Clark,Programming,4,3,2,-40,Present,12/11/2024,11:30:00 AM
B091,The Code of Chronicles,Alex Hall,Fiction,2,1,4,-43,Missing,12/11/2024,11:31:00 AM
B092,The Code of Chronicles,Taylor Allen,Thriller,1,4,3,-44,Missing,12/11/2024,11:32:00 AM
B093,The Code of Quest,Skyler Allen,Science,3,5,2,-50,Present,12/11/2024,11:33:00 AM
B094,The Journey of Code,Jordan Lee,Fiction,5,4,1,-54,Checked Out,12/11/2024,11:34:00 AM
B095,The Mystery of Legacy,Morgan Allen,Fiction,1,4,1,-57,Checked Out,12/11/2024,11:35:00 AM
B096,The Journey of Code,Morgan Brown,Thriller,3,5,1,-55,Missing,12/11/2024,11:36:00 AM
B097,The Mystery of Journey,Alex Brown,Thriller,5,4,3,-41,Present,12/11/2024,11:37:00 AM
B098,The Adventures of Shadows,Taylor Anderson,Thriller,5,2,4,-53,Missing,12/11/2024,11:38:00 AM
B099,The Shadows of Adventures,Jordan Clark,Science,4,3,5,-40,Present,12/11/2024,11:39:00 AM
B100,The Chronicles of Legacy,Casey Clark,Programming,5,1,5,-57,Present,12/11/2024,11:40:00 AM
B101,The Quest of Adventures,Alex Brown,Thriller,3,1,3,-40,Checked Out,12/11/2024,11:41:00 AM
B102,The Chronicles of Legacy,Riley Allen,History,1,1,2,-41,Present,12/11/2024,11:42:00 AM
B103,The Shadows of Mystery,Alex Hall,Programming,5,3,5,-53,Missing,12/11/2024,11:43:00 AM
B104,The Journey of Quest,Casey Smith,Thriller,5,5,2,-50,Checked Out,12/11/2024,11:44:00 AM
B105,The Dream of Journey,Jordan Walker,Programming,5,4,2,-50,Present,12/11/2024,11:45:00 AM
B106,The Future of Future,Morgan Allen,History,5,2,4,-47,Checked Out,12/11/2024,11:46:00 AM
B107,The Journey of Shadows,Taylor Lee,Science,2,1,3,-45,Checked Out,12/11/2024,11:47:00 AM
B108,The Code of Adventures,Taylor Taylor,Science,2,2,3,-42,Present,12/11/2024,11:48:00 AM
B109,The Chronicles of Future,Casey Clark,Fiction,4,1,4,-59,Missing,12/11/2024,11:49:00 AM
B110,The Legacy of Code,Jamie Clark,Programming,1,3,2,-44,Missing,12/11/2024,11:50:00 AM
B111,The Shadows of Journey,Riley Anderson,Science,3,3,4,-44,Missing,12/11/2024,11:51:00 AM
B112,The Future of Quest,Dakota Walker,History,4,5,3,-45,Present,12/11/2024,11:52:00 AM
B113,The Chronicles of Chronicles,Taylor Anderson,Thriller,5,4,4,-44,Present,12/11/2024,11:53:00 AM
B114,The Chronicles of Quest,Casey Smith,Programming,4,5,1,-41,Present,12/11/2024,11:54:00 AM
B115,The Shadows of Future,Alex Anderson,Thriller,1,3,2,-52,Checked Out,12/11/2024,11:55:00 AM
B116,The Legacy of Legacy,Jordan Hall,Programming,2,4,2,-52,Missing,12/11/2024,11:56:00 AM
B117,The Adventures of Chronicles,Jamie Lee,Thriller,1,5,5,-56,Present,12/11/2024,11:57:00 AM
B118,The Journey of Mystery,Casey Taylor,Thriller,2,2,4,-60,Checked Out,12/11/2024,11:58:00 AM
B119,The Journey of Adventures,Dakota Lee,Fiction,5,4,4,-50,Checked Out,12/11/2024,11:59:00 AM
B120,The Adventures of Quest,Jamie Walker,Fiction,3,5,1,-49,Missing,12/11/2024,12:00:00 PM
B121,The Future of Code,Jamie Hall,History,2,1,3,-59,Present,12/11/2024,12:01:00 PM
B122,The Mystery of Adventures,Alex Smith,Thriller,5,5,5,-58,Present,12/11/2024,12:02:00 PM
B123,The Adventures of Quest,Riley Walker,Programming,3,5,2,-43,Checked Out,12/11/2024,12:03:00 PM
B124,The Quest of Shadows,Riley Clark,History,5,3,2,-50,Missing,12/11/2024,12:04:00 PM
B125,The Code of Dream,Dakota Johnson,Programming,1,5,1,-58,Checked Out,12/11/2024,12:05:00 PM
B126,The Code of Code,Casey Clark,History,1,1,4,-58,Missing,12/11/2024,12:06:00 PM
B127,The Code of Mystery,Casey Smith,Science,5,3,2,-58,Missing,12/11/2024,12:07:00 PM
B128,The Journey of Dream,Dakota Clark,Thriller,2,3,2,-58,Present,12/11/2024,12:08:00 PM
B129,The Quest of Future,Riley Walker,Programming,4,4,2,-47,Checked Out,12/11/2024,12:09:00 PM
B130,The Adventures of Legacy,Morgan Hall,History,1,3,2,-43,Present,12/11/2024,12:10:00 PM
B131,The Legacy of Mystery,Taylor Brown,Programming,4,5,2,-53,Missing,12/11/2024,12:11:00 PM
B132,The Legacy of Journey,Taylor Johnson,Programming,2,5,4,-47,Checked Out,12/11/2024,12:12:00 PM
B133,The Shadows of Dream,Alex Hall,History,2,2,2,-44,Checked Out,12/11/2024,12:13:00 PM
B134,The Dream of Legacy,Casey Walker,Science,5,2,4,-46,Missing,12/11/2024,12:14:00 PM
B135,The Code of Legacy,Taylor Allen,History,4,2,5,-59,Checked Out,12/11/2024,12:15:00 PM
B136,The Journey of Adventures,Taylor Smith,History,5,4,1,-55,Checked Out,12/11/2024,12:16:00 PM
B137,The Journey of Adventures,Alex Brown,Science,3,3,4,-49,Checked Out,12/11/2024,12:17:00 PM
B138,The Future of Chronicles,Jordan Anderson,Science,4,5,5,-46,Present,12/11/2024,12:18:00 PM
B139,The Legacy of Code,Jamie Johnson,Programming,5,2,3,-40,Present,12/11/2024,12:19:00 PM
B140,The Quest of Mystery,Taylor Smith,History,4,2,3,-50,Present,12/11/2024,12:20:00 PM
B141,The Quest of Future,Riley Lee,Thriller,4,1,5,-56,Present,12/11/2024,12:21:00 PM
B142,The Chronicles of Adventures,Jordan Anderson,History,1,2,1,-43,Present,12/11/2024,12:22:00 PM
B143,The Shadows of Legacy,Alex Lee,Science,2,4,1,-48,Checked Out,12/11/2024,12:23:00 PM
B144,The Future of Journey,Casey Walker,Fiction,4,1,2,-46,Present,12/11/2024,12:24:00 PM
B145,The Code of Future,Jamie Lee,Science,1,2,4,-43,Missing,12/11/2024,12:25:00 PM
B146,The Adventures of Adventures,Taylor Brown,History,1,2,3,-54,Missing,12/11/2024,12:26:00 PM
B147,The Quest of Shadows,Dakota Brown,Fiction,3,1,5,-53,Checked Out,12/11/2024,12:27:00 PM
B148,The Future of Legacy,Dakota Brown,Thriller,5,1,5,-43,Present,12/11/2024,12:28:00 PM
B149,The Quest of Adventures,Quinn Taylor,History,3,4,1,-58,Missing,12/11/2024,12:29:00 PM
B150,The Quest of Quest,Jamie Clark,Fiction,4,1,2,-48,Present,12/11/2024,12:30:00 PM
B151,The Journey of Quest,Skyler Smith,History,4,4,4,-59,Checked Out,12/11/2024,12:31:00 PM
B152,The Chronicles of Journey,Skyler Johnson,Thriller,3,1,2,-53,Present,12/11/2024,12:32:00 PM
B153,The Journey of Code,Dakota Walker,Fiction,1,1,3,-44,Checked Out,12/11/2024,12:33:00 PM
B154,The Future of Mystery,Taylor Brown,Science,2,4,3,-55,Missing,12/11/2024,12:34:00 PM
B155,The Legacy of Legacy,Jamie Taylor,Thriller,3,3,5,-43,Present,12/11/2024,12:35:00 PM
B156,The Adventures of Chronicles,Alex Lee,Fiction,1,1,2,-49,Present,12/11/2024,12:36:00 PM
B157,The Dream of Journey,Alex Johnson,Fiction,5,4,2,-55,Present,12/11/2024,12:37:00 PM
B158,The Future of Future,Morgan Brown,History,5,4,2,-49,Present,12/11/2024,12:38:00 PM
B159,The Code of Dream,Jordan Anderson,History,1,4,2,-51,Present,12/11/2024,12:39:00 PM
B160,The Shadows of Chronicles,Riley Allen,Fiction,4,3,5,-47,Checked Out,12/11/2024,12:40:00 PM
B161,The Adventures of Future,Quinn Lee,History,2,2,3,-44,Present,12/11/2024,12:41:00 PM
B162,The Future of Adventures,Taylor Brown,History,4,2,3,-57,Present,12/11/2024,12:42:00 PM
B163,The Legacy of Dream,Quinn Brown,Science,5,3,5,-44,Missing,12/11/2024,12:43:00 PM
B164,The Shadows of Adventures,Taylor Brown,Programming,5,5,4,-52,Missing,12/11/2024,12:44:00 PM
B165,The Dream of Mystery,Quinn Johnson,Science,4,2,3,-41,Missing,12/11/2024,12:45:00 PM
B166,The Quest of Future,Taylor Walker,Science,5,2,5,-56,Present,12/11/2024,12:46:00 PM
B167,The Dream of Legacy,Casey Smith,Science,5,1,3,-41,Checked Out,12/11/2024,12:47:00 PM
B168,The Dream of Adventures,Dakota Anderson,Fiction,3,4,5,-45,Present,12/11/2024,12:48:00 PM
B169,The Dream of Chronicles,Jamie Lee,Programming,3,5,3,-58,Missing,12/11/2024,12:49:00 PM
B170,The Quest of Journey,Taylor Allen,History,3,2,4,-52,Present,12/11/2024,12:50:00 PM
B171,The Journey of Chronicles,Dakota Smith,Fiction,3,2,3,-49,Missing,12/11/2024,12:51:00 PM
B172,The Adventures of Legacy,Morgan Clark,Programming,1,5,1,-43,Missing,12/11/2024,12:52:00 PM
B173,The Shadows of Shadows,Skyler Clark,Science,4,2,3,-43,Present,12/11/2024,12:53:00 PM
B174,The Shadows of Journey,Quinn Allen,Programming,3,5,4,-59,Missing,12/11/2024,12:54:00 PM
B175,The Dream of Code,Taylor Anderson,Thriller,1,1,3,-44,Checked Out,12/11/2024,12:55:00 PM
B176,The Legacy of Chronicles,Jordan Lee,Thriller,4,5,3,-49,Missing,12/11/2024,12:56:00 PM
B177,The Shadows of Legacy,Riley Brown,Fiction,2,4,5,-58,Checked Out,12/11/2024,12:57:00 PM
B178,The Future of Adventures,Casey Walker,Programming,2,3,2,-56,Checked Out,12/11/2024,12:58:00 PM
B179,The Code of Shadows,Jamie Lee,History,5,1,3,-45,Missing,12/11/2024,12:59:00 PM
B180,The Chronicles of Dream,Taylor Allen,History,3,3,3,-58,Missing,12/11/2024,1:00:00 PM
B181,The Shadows of Dream,Morgan Smith,Thriller,2,4,2,-40,Checked Out,12/11/2024,1:01:00 PM
B182,The Legacy of Mystery,Jamie Hall,Fiction,3,5,5,-40,Missing,12/11/2024,1:02:00 PM
B183,The Legacy of Quest,Taylor Hall,Science,5,5,4,-56,Present,12/11/2024,1:03:00 PM
B184,The Shadows of Shadows,Taylor Taylor,Fiction,3,2,4,-54,Checked Out,12/11/2024,1:04:00 PM
B185,The Mystery of Mystery,Quinn Brown,History,2,4,1,-41,Missing,12/11/2024,1:05:00 PM
B186,The Chronicles of Journey,Casey Anderson,Fiction,4,4,5,-54,Present,12/11/2024,1:06:00 PM
B187,The Code of Chronicles,Quinn Lee,Thriller,2,2,3,-51,Checked Out,12/11/2024,1:07:00 PM
B188,The Dream of Legacy,Skyler Brown,Science,3,5,5,-45,Checked Out,12/11/2024,1:08:00 PM
B189,The Adventures of Code,Quinn Hall,Fiction,5,5,2,-57,Present,12/11/2024,1:09:00 PM
B190,The Mystery of Journey,Morgan Allen,Thriller,4,2,4,-40,Checked Out,12/11/2024,1:10:00 PM
B191,The Dream of Dream,Morgan Walker,Programming,1,5,2,-43,Missing,12/11/2024,1:11:00 PM
B192,The Journey of Mystery,Skyler Brown,History,2,5,5,-52,Checked Out,12/11/2024,1:12:00 PM
B193,The Code of Shadows,Quinn Lee,Science,3,2,3,-59,Present,12/11/2024,1:13:00 PM
B194,The Dream of Shadows,Taylor Johnson,Fiction,3,4,3,-56,Present,12/11/2024,1:14:00 PM
B195,The Chronicles of Journey,Taylor Allen,Science,2,1,4,-59,Checked Out,12/11/2024,1:15:00 PM
B196,The Journey of Journey,Taylor Clark,Programming,4,1,1,-59,Checked Out,12/11/2024,1:16:00 PM
B197,The Future of Adventures,Alex Anderson,Thriller,3,4,5,-40,Missing,12/11/2024,1:17:00 PM
B198,The Chronicles of Quest,Dakota Brown,Thriller,4,1,4,-42,Present,12/11/2024,1:18:00 PM
B199,The Journey of Adventures,Jordan Johnson,History,2,1,1,-53,Present,12/11/2024,1:19:00 PM
B200,The Dream of Code,Riley Smith,Fiction,5,1,5,-57,Checked Out,12/11/2024,1:20:00 PM
